Session ID,Date started,"Imagine you are writing a complaint letter to the head of Walmart...in detail, tell us the things you would complain about and why they matter?",What do you think Target does better than Walmart?,What do you LOVE most about Walmart?,Gender,Age group,State,Who does it better? Target or Walmart?
c113ad06-1ec1-44b1-ba9a-10ffabc3dfc5,10/02/2022 01:00,The only problem with Walmart is the check out lines. They have very little lines open. Customers are always complaining.,,I love their prices,Female,65-74,Texas,Walmart
c9cc4594-9ff3-43f0-880d-dfc38600d33c,10/02/2022 01:00,I guess I would complain about customer service. Walmart in trash when it comes to in person customer service. No one knows go to help you or what they're talking about and half of them look like they don't want to be there.,,They have everything I need at decent prices,Female,35-44,Texas,Walmart
fc0762b9-8b34-44ef-9d8e-17eb552854af,10/02/2022 01:00,"Cleanliness- often times there is visible dirt and grime on every surface at any given Walmart, the carts and cart handles, the doors and windows, shelves and displays, ripped packing boxes on the shelves... clean up.
Online Order Pickers and their dang carts- these employees who move their huge rolling carts up and down the isles constantly block the flow of traffic, create additional obstacles, and have an attitude of either 'Don't ask me, I'm busy' or 'I don't hear/see you there.'  I'm not sure exactly how to fix this issue but if I need help and the only person available anywhere around me in a blue vest is also hurried to get their own 'shopping' done, I'm going to inturrupt them and ask my question.
Fix the broken card readers in the self checkout lines or close them off.  I can't tell you how many times I have gone through an open self check out line just to fail at the final step because the card reader is broken.  Then I have to wait around until someone notices me and comes to help.  They have to do their little thing, print a tickets, me and the person carry all my groceries to find an open register just so they can allow me to use that card reader.  Meanwhile I look up and see someone else on that same self checkout I just walked away from, now experiencing the same result.
C'mon Walmart.   If you don't see these issues, HIRE ME, I'LL POINT THEM ALL OUT FOR YOU.""","Absolutely everything except prices.  Everything.  From cleanliness of stores, knowledgeable, helpful, and friendly staff, store layouts, lighting, soft goods, hard goods, groceries, atmosphere, quality of plastic shopping bags... everything.",Nothing at all.  I can't stand Walmart.  The only thing I LIKE about it is that it is just around the corner from me.,Male,35-44,Texas,Target
0965068b-ce83-4e4c-af6b-e1619fa0a7d3,10/02/2022 01:00,"I would complain about the way deliveries are sometimes handled, and the unsatisfactory choices in substitutes made by the hired shoppers""",,"The variety,  quality, availability and equitable pricing of products in every department",Female,65-74,Texas,Walmart
2b3fa7e4-6f0d-4539-ba16-6f3a66e760d1,10/02/2022 01:00,"I am writing to complain that every time I go to do my shopping. I had. Few incidents in which I couldn't get to either a shelf to get an item or a produce, because several workers were socializing and would not move even when asked politely that I needed to get something.""",,Their prices and to be able to find everything I need in one store.,Female,45-54,Texas,Walmart
31cbb98d-fab2-4bbd-8a62-cabaec02c8fd,10/02/2022 01:00,Lines service,,Selection and prices,Male,45-54,Texas,Walmart
3760939b-459b-41e1-83cc-2ffaab4a096a,10/02/2022 01:00,I don't like how you have a no cash return policy. If we buy something at Walmart and don't like it we still have to spend our money there because you will only give us a gift card for Walmart only.,I just don't like Walmart. I don't think Target is better but that was the only option I had.,I love how they pretend to care about communities but destroy small local businesses and don't feel ashamed about it,Male,35-44,Texas,Target
4bff49bb-f528-49cc-b486-b6b1a8e57182,10/02/2022 01:00,"First of all, quit rearranging the stores every other week. As soon as you figure out where something is... they move it again... and lately, it seems as if most things aren't just moving to a different aisle. They are switching sides of the store totally. Also, they really need to train their staff better, or at least have refresher/updated policy courses. If you've worked there for any amount of time you should 
 know cashier procedure on gift cards like the back of your hand. Just saying!""","Organization, quality, asters",That you can get almost anything under the sun there... and have at least a couple options. It's the one-stop-shop!!,Female,35-44,Texas,Target
4deaedf7-24ad-4fae-a014-b2839af69a78,10/02/2022 01:00,The customer service is horrible and the poor quality In employees is the reason,Target is more connected to their customers and the quality of products are better,It's a one stop shop,Female,25-34,Texas,Target
5c070d8d-08bf-44ac-9b6d-4eb282e56530,10/02/2022 01:00,I would complain about not having enough employees to assist shoppers and this is very important whenever you need help either looking for an item or getting an item from an area that you can't reach.,,Convenience,Female,,Texas,Walmart
ae9406c7-1e8b-4275-84c8-f275eb744c2f,10/02/2022 01:00,"I am writing in regards to an incident that took place in your vernon walmart supercenter on december 15,2021. I have never had any issues with the walmart here in my city and shop very regularly. Today was the first and hopefully last incident such as this one. It has everything to do with racial profiling. I have voiced my concerns to the manager on duty at the time and was told to contact corporate to file a complaint. I feel if this happened to myself as long as ive lived here and as regularly as I shop at walmart, it will happen to anyone else and for that reason as well.  I am writing today. I was followed by 3 different associates this evening. Literally from isle to isle, I have footage to back up my complaint as well. It was as if every move I made they were never too fsr behind. I do not appreciate that one bit. I have never felt so enraged and disgusted with the ignorance as I did today. I did nothing wrong yet i felt as if I was in the wrong for continuing to shop. From the clearance to the prosuce isle I was followed and watched as if I was some sort of criminal. It was so terrible I left. I have not felt more disgusted and angry as I did today and    I feel.it was entirely wrong of this individual to single anyone out due to. The color of their skin. and im writing to raise awareness to the issue at hand and possibly prevent someone else from having to deal with this very thing. At least at my local walmart. This has to end. It will never end completely but it is a start and it only takes 1. 1 Voice. 1 person to stand up for what is morally right. It is not going to happen overnight. Its inevitable to end all racism worldwide but this is something that cannot be brushed off and forgotten. For some this happens daily. It is never right and I will be that 1 person that might possibly save another from having to endure this terrible crime that is committed daily. This has to end. It starts with us. Thank you for the opportunity to contact regarding my issue. 
      Shanae embers""",,"The variety of low price and great quality items is a plus for myself and my family. The shelves are rarely empty, which is also important, especially the essential items. Thry have great customer service and all around cleanliness and great atmosphere.",Female,25-34,Texas,Walmart
bdfabbf2-c2ff-4590-a130-a3ff199efc7d,10/02/2022 01:00,I would complain that sometimes it can look messy in there and I know that don't seem like a big deal but it makes it harder to look for the things you need,It is just more clean and has more things than Walmart,I love that they are a good place to shop because you can find a Walmart anywhere and they have all your essentials,Female,18-24,Texas,Target
d394402f-3df2-4cb5-88cc-66a0c02a06d1,10/02/2022 01:00,"Why would i complain? But if i did, it would be to complain about one time i bought a fan and returned it and the management at the time said they would accept the return but that they would black list me for doing the return and i would not be able to make a return for the forseable furture.""",,Low prices and lots of available variety  in all departments you would need for home and living,Male,55-64,Texas,Walmart
dd1f26c3-d38a-4ac6-b2fb-d22d4316d666,10/02/2022 01:00,"Walmart you need to put people back on the register's. There are lots if people that have zero interest in checking themselves out or they are older and need the help. 
Bad Walmart",,I really like the option to shop for everything I need online and then reserve a time and day to pickup. I then go when it's ready snd they load my items in my vehicle.,Female,55-64,Texas,Walmart
e9f1bc19-c99d-4ba5-b9ef-9c8a12ad169e,10/02/2022 01:00,The shelves are messy in the afternoon and the mens clothing dressing room is always a mess,,Always a person to assist you and you can get anything you need there,Male,55-64,Texas,Walmart
0679197c-1724-4b9d-9e44-60301c91aaeb,10/02/2022 01:00,not much to complain about but wish they would start providing hand held shopping baskets again and sell bakery items individually,,good selection and very reasonable price also is located close by home,Male,,Texas,Walmart
279a0eed-d7b2-4316-97bf-3f9d03e18ae7,10/02/2022 01:00,It's a good thing to have a very very important app,It's a good idea for me and I have it on with me and I have I know how to get it because,It's great and very useful and very good,Male,25-34,Texas,Target
28cb9f59-9136-42ee-9af4-27b400bd0bfb,10/02/2022 01:00,Honestly I wouldn't write a complaint to the head of Walmart but if I did it would be how the workers and secret shoppers be following people around in the store thinking that they are trying to steal.,,Majority of the time they have all the items that I be looking for at a reasonable price.,Female,18-24,Texas,Walmart
2fdd0365-4407-4138-bfad-1294d1c1e80f,10/02/2022 01:00,They need more cashiers at the check out lines,,I love the prices at walmart,Male,55-64,Texas,Walmart
869fe9db-66dd-43c1-887c-5c1070462a52,10/02/2022 01:00,"Not enough cashiers,  I don't like self checkout. Employees don't seem to care""",,I like the selection and overall cost.,Male,45-54,Texas,Walmart
9cc805a9-4fc4-4084-b2bb-0c0c49c8d621,10/02/2022 01:00,About taking too long in line it matters because more people work,,It has groceries and electronic devices to buy there,Male,18-24,Texas,Walmart
a1e30d9d-f1a1-4e9b-87f0-105453335261,10/02/2022 01:00,Nothing just keep the restrooms clean,,Self check out,Male,18-24,Texas,Walmart
a92ff2ff-d543-4033-992c-d6eab3e27dd8,10/02/2022 01:00,"My complaint with Walmart mostly would be the lack of available products, lately most of the time the shelves are bar or are low in stock. Trying to find certain products that normally would be there are now no longer easy to find.""",Target has a broad selection of brands and typically has all of the products I am looking for.,The Convince of it,Female,25-34,Texas,Target
bc3cec85-4b4c-4172-871f-01fae2bf7a1e,10/02/2022 01:00,High prices poor customer service,More quality products,Convenience,Female,35-44,Texas,Target
d428b7ec-067a-4a70-bf23-8467261a09b7,10/02/2022 01:00,I would complain about lane closures. Shelves not being stocked.,,More variety. Availability. Consistency. Helpful.,Male,35-44,Texas,Walmart
ea4e7100-e283-4e17-bbb0-2834a77296f5,10/02/2022 01:00,I would complain about the curbside. Almost every time I use Walmart curbside it takes them forever to get to my vehicle at that point I might as well have just gotten off to get my items. I also would complain about the fruit and veggie section in Walmart. I never buy my fruits or vegetables from Walmart because I know the produce is always bad. I seem to always see fries or some type of small bug on the produce.,,I love most about Walmart is the self checkout and the prices are cheaper than most. I love the self checkout because I like scanning my own items and I feel it goes by way faster than standing in line also if I want to be in and out as fast as possible I can. I don't have to deal with the small talk at the regular register or wait for a slow person to count their change or any unwanted situations that usually happen at the regular register. Now the prices are a bonus I can get just as good or better quality of items that you would get for a higher price somewhere else. Also it's convenient there are walmart's almost everywhere so even if you travel to a different state and you don't know there local store you for sure know and recognize a Walmart.,Female,18-24,Texas,Walmart
efa229ac-46c3-44fe-8498-db69b47e1a1c,10/02/2022 01:00,To be honest I don't have any complaints,,It's a one stop store I can buy everything I need there,Female,35-44,Texas,Walmart
0631470b-133f-47fd-8beb-653a13b26e5c,10/02/2022 01:00,"To whom it concerns,

I was recently in one of your supercenter locations where I was given terrible customer service while asking for help locating an item. This is not a common occurrence with your associates and should be delt with swiftly and appropriately. The customer should not be put second to restocking shelves if you want them to come back for future purchases.

With all do respect,
A. C.""",,"It's a one stop shop. You can get clothes, groceries, automotive supplies, home decor, electronics, etc. They have competitive pricing and excellent return policies.",Male,35-44,Texas,Walmart
413662a7-1496-439f-9554-db4819f547de,10/02/2022 01:00,I miss the availability of being able to shop after midnight with out the hassle of having to rush be cuase you are closing.,,product availability,Male,35-44,Texas,Walmart
43bb65c2-d6e9-4208-b7bd-466ef882412d,10/02/2022 01:00,"Customer service. When I'm looking for a specific item and can not find it, it is very difficult to find a store employee to ask and when I do, sometimes they are not helpful since they don't know item location as well""","The Supertarget I go to is always very clean, the employees are helpful in finding things for me.","When I go to a Walmart, I like to go to a Super Walmart, so it's a one stop shopping trip, for groceries and more",Female,55-64,Texas,Target
4aa655c9-2dbf-4f8a-b5b6-88e584c8a0b9,10/02/2022 01:00,I don't particularly like the self-checkout,,"Walmart is in my hometown and easy to get to ,to shop",Male,55-64,Texas,Walmart
7a526e83-1278-49ad-b7c7-81df70aa7db3,10/02/2022 01:00,nothing,,value and selection,Male,65-74,Texas,Walmart
7c111d74-740c-477b-8887-b85a35e54ea2,10/02/2022 01:00,"out of stock products, online stock not matching store levels, long checkout""",,everyday prices on groceries,Male,45-54,Texas,Walmart
7f9b744e-7a54-4165-a9cb-c677f9c3f420,10/02/2022 01:00,Not enough check-out lines open,,"It is close by, has what I need and is reasonably priced",Male,65-74,Texas,Walmart
b2e0dae5-327a-431c-be0b-6b810b5d5fda,10/02/2022 01:00,I would complain that their produce does not stay fresh for long. It's also very weird to have a produce section right next to the clothing aisles in most wal marts. I think there should be more separation between non edible items and fruits/veggies.,Target is cleanly and has a nice layout where everything flows well.,I love that they are stepping up their fashion and home goods. Wal mart can have high quality items for a good price. They usually always have what I need as well if i'm in a rush.,Female,18-24,Texas,Target
b78de2c1-a15e-493d-b339-ded7d03e03be,10/02/2022 01:00,they nickel and dime you at customer service returns are an awful experience that is why i haven; shpped tere for quite some time.,"hreat customer service short line and quick turnaround time, returns are easy",nothing - bad customer service long wait lines everywhere,Female,,Texas,Target
bab25511-9bc8-4a04-9036-87e455e57fb3,10/02/2022 01:00,I have no complaints. I would suggest they open all Walmarts 24 hours.,,Walmart has everything a person needs.,Male,45-54,Texas,Walmart
bbe3227f-9743-4d23-86c2-721edc3a8dfb,10/02/2022 01:00,I would complain about how they treat their employees.,,That everything I need is under one roof. From groceries to hardware.,Female,25-34,Texas,Walmart
fda3922f-3bb0-4771-9523-c7e62722c2fd,10/02/2022 01:00,Staff is not friendly,,I like the atmosphere and the prices,Female,45-54,Texas,Walmart
1acb3d6f-01e0-4a75-a6b9-92652ac600bb,10/02/2022 01:00,Nothing comes to mind right now.,,I really love the low prices and variety of selections,Female,55-64,Texas,Walmart
2771904f-b91e-4848-9db8-daab8a17f29e,10/02/2022 01:00,Lately there has been a lot of products out of stock. Anything that you can do about it would be appreciated.,,Their prices are usually very good. Also they usually have a lot on clearance for super low prices,Female,55-64,Texas,Walmart
33246068-b929-480b-a599-35ee3480f5d7,10/02/2022 01:00,My complaint would be how the store are making way too self check out lines and almost no cashiers. They are forgetting that we still have senior citizen that depend on these necessities still. The baby boomers are not necessarily up to date on the new changes taking place in the evolving of the future. And speaking on behave of my mother. I will always be concerned for her frustration.,,What I love about Walmart is the prices are almost always reasonable. I always have a good shopping experience when I shop there. When I shop at Walmart I find new products to try. I enjoy that Walmart offers clothes and accessories and electronics. It can be a one stop shop when I need it to be.,Female,55-64,Texas,Walmart
4a2ccec1-a19e-47a3-9174-edb010353a89,10/02/2022 01:00,Customer service in store.  Only feels like employees r restocking shelf's and don't say hi or welcome or have a nice day.,,Selection and close to home,Male,55-64,Texas,Walmart
79f05eb7-b0eb-4665-90be-88d4bb7a5dfa,10/02/2022 01:00,How they treat customers,Quality of products,Everyday life prices,Male,35-44,Texas,Target
a8128698-5394-486e-8c21-4569da935f7f,10/02/2022 01:00,There are not enough registers open especially during holidays. You wait in line too long.,,The selection they have and proces,Female,45-54,Texas,Walmart
a9bf8be7-fbd2-40b2-9b31-2ad04032e2c3,10/02/2022 01:00,"I would complain about the quality of some of the products, especially in the fresh produce and meat section. I would live to see more fresh meat selection so that i can do a complete shop at Walmart.""",Their selection of products are a higher quality,Everyday great value,Female,45-54,Texas,Target
afc55b0e-e1af-4880-99e8-1c155bc38339,10/02/2022 01:00,Cleaning and safe for shopping experience,,Price and selection,Female,55-64,Texas,Walmart
be9a213b-4007-47b1-9955-56c87924370b,10/02/2022 01:00,Walmart needs to clean the restrooms more often not just once a day of twice it's dirty and disgusting,The popcorn an Starbucks that they have,The deals they got on jewelry,Female,18-24,Texas,Target
c1ff1dc6-a2eb-4c77-8f86-7c30a52c0785,10/02/2022 01:00,"The checkout lines are always full. It takes forever to leave there. There is never an accurate price on most items. I need to scan the UPC in the app to find out what something costs. Items aren't arranged on the shelves neatly.  Sometimes it's difficult to find what I need but, it's usually there. The employees aren't willing to help find what I need. I can tell that asking annoys them.""",,The location is closed to home and has the items I use everyday at affordable prices.,Female,55-64,Texas,Walmart
c8468d60-58ca-4660-8668-bf2cac047b78,10/02/2022 01:00,Many Employees do not speak English very well or at all,Cleaner and better customer care personality,Selection,Male,65-74,Texas,Target
d0e47ce0-4084-4d9b-a982-396ef0360c3b,10/02/2022 01:00,Open up more registers (staffed) so the lines are not too long.  I do not do self checkout.,,I like being able to get everything I need in one place.,Male,65-74,Texas,Walmart
1f11476b-5be0-43d1-bb6f-d90bb66fc4e6,10/02/2022 01:00,I would not write a complmm‚àö¬±,,They have great product s and low prices with great service o,Female,45-54,Texas,Walmart
2ea6d669-405b-4195-bb88-9c94e7eee5bf,10/02/2022 01:00,"I am disappointed with Walmart for the difficulty in finding the category for which I am shopping.  Sometimes it is difficult to find a store associate who can help.  And, of course, you are out of stock too often recently.""",,"The low prices every day, great sale prices, large selection of products in most categories.",Male,,Texas,Walmart
41830b72-2c97-45be-bc1e-8d0f0979b3eb,10/02/2022 01:00,i have nothing really to complain about with wallmart.,,the prices mainly to be honest,Male,25-34,Texas,Walmart
482e3b81-ae45-41fb-bea8-bfa3ed80c630,10/02/2022 01:00,Checking out can be especially difficult with the little amount of staff present,Different variety of products I love,Availability of products,Female,25-34,Texas,Target
568fcbe0-7c72-40cd-8e0f-b64b24658b72,10/02/2022 01:00,Why are your employees so rude and untrained?,More variety and a cleaner environment,The layout of the store makes it easy to navigate even when entering a new location.,Female,18-24,Texas,Target
5c380c31-f90b-417a-9fd7-2d98ce6c8448,10/02/2022 01:00,The prices are the most definitely a big part of why people love to shop at Walmart. The diffent clothing types are Soo aweosme as well :).,,It has Low Prices and Many varietys of Options to choose from .,Female,25-34,Texas,Walmart
7f1aa5f1-f856-4a80-888a-b271fb178013,10/02/2022 01:00,"The complaint I really have about Wal-Mart would have to be the lack of open checkouts. I rarely see more than two open checkout lanes with a cashier. They do have seversl self checkout lanes, but even those are always crowded, and not everyone likes to go through self checkout, especially when you have a large quantity of items to checkout.""",,"Wal-Mart has just about everything you need. They have groceries, clothing items, hygiene items, medical, entertainment items, toys, automotive, etc. Wal-Mart also has great prices, and it's convenient.",Female,25-34,Texas,Walmart
83c9a207-88e6-4d9a-8b10-f1f5b161774c,10/02/2022 01:00,"Customer service sucks 
I'd say Walmart needs to have more of a variety of electronics in the store","Advertise, sell better product, and there store is all just cleaner",I'm able to find majority of the stuff I need quickly,Male,18-24,Texas,Target
a9cdb16b-4c9b-4926-8cc1-ac9795205826,10/02/2022 01:00,I will complain the Walmart gets low on stock quickly. Walmart doesn't have a good produce section. And a lot of people shop at Walmart so a lot of things are sold quickly,Target will have more things in stock than Walmart. Store presentation of target is better and the workers are nicer,What I love most about Walmart is there a variety of products,Female,25-34,Texas,Target
ac213f37-f9cf-4286-b854-9b80ac80ea24,10/02/2022 01:00,The hours. or maybe there's not enough deals,,The prices,Female,18-24,Texas,Walmart
cbbea14e-97c6-4cbc-965b-8c5f42f16b6a,10/02/2022 01:00,Unrelated substitutions,,Online shopping,Male,45-54,Texas,Walmart
cc7d4e91-fd08-48e1-8b27-916162d3a556,10/02/2022 01:00,Hi Julie just wanted you know that my friend is going on a trip to Mexico and she is a nice girl lol I just wanted you know I was just like a queen lol I think,,The prices are very much good and easy to access the products due to the organization,Female,25-34,Texas,Walmart
e0a339fe-99b3-496d-8011-99c5e8b0fd46,10/02/2022 01:00,My problem is that. Walmart is under staffed. When this happens the customer service isn't as good as it should be.,,It's Wide selection of items. And lower prices,Male,45-54,Texas,Walmart
f8beccbd-d5b6-4af1-a926-cd58fca99cc9,10/02/2022 01:00,I would complain about my walmart pick up orders being wrong pretty often.,,I love walmart pick up. I love their everyday low prices. I also like that it's a one stop shop. You can get almost anything you need there.,Female,25-34,Texas,Walmart
0b4cc421-b9b9-431e-b741-f1e7d1776fec,10/02/2022 01:00,Well in my neighborhood store now  Walmart has substantially downsized the staff. Cashiers are mostly replaced by self check outs and the store now is a real mess. Dirty washrooms and unkempt products,,Variety of products under one roof and reasonable prices,Female,25-34,Texas,Walmart
44ee4886-25d7-472b-8dfb-5853334937ca,10/02/2022 01:00,The main complaint I have especially with regard to the groceries is it the produce it's not always fresh and you have to give me a refund. I think that quality control needs improvement but otherwise things are working much better at your your stores are very good to respond when I have an issue and also it's nice sometimes you just call and give them a complement,,Walmart does a fantastic job of delivering in our area. I do not drive and getting my groceries delivered saves me a huge amount of money,Female,65-74,Texas,Walmart
53f317c5-3575-4583-8f39-e1f5948b14d1,10/02/2022 01:00,"I'm upset about Walmart taking out the cashiers, the customer service that they do, the company now oriented toward putting money into upper management pockets, since the Sam Walton passed there isn't any value or concern for the employees as before, there are more terminations happening to employees that have been around longer, plus there is no longer an atmosphere of family and friends in any of the Walmart stores.""",I actually have NO opinion about which is better. I have no first hand experience with Target. I do with Walmart. Especially when Sam Walton was alive. He took better care of his employees.  The Walton Family no longer runs Walmart.,"I loke the most is the convenience, lower prices, variety.",Male,65-74,Texas,Target
5ee8a378-30d2-4b07-a6d3-503ea26652e4,10/02/2022 01:00,It's kinda ghetto,more variety,Cheap,Female,25-34,Texas,Target
9a5aa5ac-afcd-4d9c-a30f-11dd73ada52a,10/02/2022 01:00,How people act dumb in the isles and being dumb about it,,"How you could always find what you need , like one time I wanted to make some pottery and I went to Walmart looking for some home based clay and I found the crayola bucket of clay and came home started right away , now I have some cute ring plates and vases for my cute flowers",Female,18-24,Texas,Walmart
9c44f2c1-f39c-4f0e-b15c-e963e3ca029b,10/02/2022 01:00,Nothing,,"What I love about Walmart is you can go there and find almost everything you need , the customers there work really fast && their prices are reasonable",Female,18-24,Texas,Walmart
0448bea1-14dd-48a9-9784-6b2df512f7dd,10/02/2022 01:00,The customer service is not always on point and they can be rude and dismissive and customer service matters because it makes people want to come back.,Target is high end and the customer service is always great.,I love that they have a wide selection of products that cater to everyone's needs and wants.,Female,25-34,Texas,Target
0d41c9e2-5ef9-422e-baa7-469d28b78377,10/02/2022 01:00,I would write a letter explaining how I have had a few friends who have worked there. They often complain how their hours are strange.,,They have really great prices,Male,25-34,Texas,Walmart
12aca9a9-cd60-4a11-8858-33c00d5b8310,10/02/2022 01:00,Hello i am one of your loyal customers i have a small compalaint one of your associates was screaming at a child in the women's bathroom i didn't get her name.would train your employees about how to trat people thank you,,You can buy everything in one store,Female,55-64,Texas,Walmart
224d1f97-c50d-4df7-ac45-f831f958f527,10/02/2022 01:00,"Dear Sir, I'm writing to tell you we need to work harder on customer service being consistent""",,All of the options they have available,Female,45-54,Texas,Walmart
320c09be-cb56-4736-86df-a996d61c9e50,10/02/2022 01:00,"I like the low prices, and the variety, but there meat, are to high""",,Variety,Female,55-64,Texas,Walmart
3399ec28-a9b8-49d8-ae75-7b9dacd418e0,10/02/2022 01:00,"Hello, the only complaint I have about Walmart is no matter what Walmart I attend. The makeup Shelves always need to be restocked. The lashes in particular. More mail options and skin care needs to always be refilled as well.""",,"I love the variety of products the sell from makeup, do clothes to car parts, tools and paints. Plants. And during Christmas time they have the most gorgeous trees! You can find anything at Walmart , medicine. Toys. Groceries. The list just goes on and on",Female,18-24,Texas,Walmart
4baa6f77-4801-4f43-8ca2-9a1713352f46,10/02/2022 01:00,"Low quality, poor service""",More fashionable.,"Low prices, convenience",Male,45-54,Texas,Target
5ee882e3-6563-4187-bf2c-e57225294d54,10/02/2022 01:00,There are not enough cashier lanes open during peak hours of shoppers causing the wait in line to reach checkout over 5 minutes on a good day.,Target always has multiple lanes open and I never have more than a couple of minutes to wait to checkout.  The ease of getting in and out makes it better.,"Walmart always has a sale, good prices, and variety of choices of items to choose from.",Female,45-54,Texas,Target
656b1fdc-6a79-4108-b601-054538577438,10/02/2022 01:00,I would complain about the prices for shoes at the store because slot of people who cannot afford for shoes go there because they used to be affordable and now they are $20 or more for a pair and they're not shoes that would last a long time especially for little kids that like to run around and don't know how to take care of things. But other than that there's not much to talk about it I do know some of their prices are expensive but I still go there for fresher better foods.,,"I love the diversity of items they have, and how organized and neat everything is. During the seasons they have decorations according to holidays and items for home decorating, foods organic, and healthy, and clothes and it's so diverse and my go to close by home store.",Female,18-24,Texas,Walmart
8846eb66-4cbb-4c2f-955a-da24c9179143,10/02/2022 01:00,A dirty store or unhygienic practices,Target has better presentation and better items to choose from but your do end up spending a little more. I just prefer to go to Walmart over target because I feel like they are just cleaner and have a better presentation,That I can find every little thing that I need at an affordable price,Female,25-34,Texas,Target
88d31110-81e6-49a9-bba4-92e0187ca857,10/02/2022 01:00,You treat your company employees like s*** you treat the customers like s*** f*** you Walmart,They don't treat their customers and employees as s***** as Walmart does,I don't I hate it but it took over the town,Male,45-54,Texas,Target
8f6f6b98-e901-4722-812e-2b3eb36fe7df,10/02/2022 01:00,This store I go to never has anything in stock especially cat food but also no pumpkin pies plus sick of.your self checkouts,,I do not love walmart actually hate them don't ever have anything in stock and always damaged cat food cans sick of the self checkouts,Male,45-54,Texas,Walmart
acb219f6-f9c0-4856-a714-1c0e778c2fad,10/02/2022 01:00,"Why isn't Walmart followup Ppe protocol's , told to be silent when testing positive for covid""",Better quality products,Can not say at positive  things do to Walmart tells anyone that gets Covid to keep their mouths closed  there is no employee protection in stores,Male,65-74,Texas,Target
d2f57fba-c3b2-49a4-9d3d-04efa70f5ffa,10/02/2022 01:00,Parking and the check out process,,Selection of items,Male,65-74,Texas,Walmart
e46ee8bb-0f48-4cbe-b589-9914e059ffdc,10/02/2022 01:00,You guys need to correct customer service bin your facility. A lot of your employees have attitudes and act like they don't want to help.,,They have everything I need in one store. I like that it is very convenient.,Female,25-34,Texas,Walmart
1b8ba520-dc15-4ee5-aa6f-ea76100392b4,10/02/2022 01:00,Please remove the stacks of inventory from the center aisle-it makes it too crowded.  Get more books and upgrade your party selection-it's kind of cheap looking.,Target is brighter and less ∫junkyπ than Walmart-they have cute displays for clothes and home goods.   I wish there was one closer to me and I would never go to Walmart again,Walmart is the only store in town to get the ∫thingsπ you need.   I do not buy clothes or gifts there but get daily needs taken care of there,Female,45-54,Texas,Target
1ea91091-c2f7-4e1b-a49b-372b429912b4,10/02/2022 01:00,There are not halal food there so I think it could be really good to get halal food,,Price,Female,25-34,Texas,Walmart
1f4a3337-aa4a-424a-90b9-faea6886570d,10/02/2022 01:00,Their employees don't care about customer service or their jobs. If I have an issue with someone or something I don't even complain about it anymore because I know nothing will be done and nobody will care,Target keeps their store cleaner and hires people that actually care about their jobs,It's close to my house,Male,25-34,Texas,Target
2c7a4d91-c25a-4e72-b003-f7b4306bb0c1,10/02/2022 01:00,"Lack of product,lack of promos,""",,"Product availability,pricing",Male,45-54,Texas,Walmart
61e80d52-a022-41f3-b7cd-2bcada2f4b5a,10/02/2022 01:00,No complaints,,Cheap prices,Female,25-34,Texas,Walmart
9b14bd29-e96d-4fef-b755-4f22b2c20b0e,10/02/2022 01:00,The losing items in the mail is the hardest u said u sent a item then it got lost,It always has great employees and merchandise,Lots of merchandise and always has what ineed,Female,55-64,Texas,Target
d821e898-1a57-4d7c-82b0-a2cf0f54ac6f,10/02/2022 01:00,The only thing I would give some attention to is customer service. At times it's hard to get a concrete answer sometes when there's an issue.,,There are many options to choose from and the shipping is quick,Female,45-54,Texas,Walmart
dec5facf-30c4-47dd-b322-ebdeca833bab,10/02/2022 01:00,Checkout lanes without checkers.  20 lanes and only 3 open,,Most of what I need in one location,Female,55-64,Texas,Walmart
f073c9ee-43f3-46f7-89ba-c1e099676f45,10/02/2022 01:00,"You are a multi billion dollar company. Please pay your employees a livable wage.  Stop promoting high wages and health insurance, only to make sure said employee never works the number of hours to qualify for those things.  I love self checkout, but you need to open your registers!  I'm tired of only 1 or 2 lanes being open and having to stand in long lines, when I Need to deal with a cashier for my transaction.   If you insist on making us check ourselves out, a discount should be given, or rewards earned, for doing so.  I like to get paid when I work.  
Also, since you are no longer open 24 hours, perhaps you could instruct your associates NOT to block off every single aisle with stock, an hour before closing.   It is very frustrating to try to shop and have to walk 10 aisles down, to finally be able to get to the other side of the aisle and turn around and walk the same 10 aisles to get what I need.  Or to Not be able to get what I need because there are several pallets blocking access.  
You have been around for generations, you Know better.  Please Do better.""","Target is just a nicer store.  It's brighter and cleaner.  I never have to try to navigate around pallets and pallets of stock on the floor while I'm shopping.  
They are a little higher, but sometimes it's worth it to avoid that aggravation.   
Their girls clothing department is on point.  My granddaughter loves shopping there.  Walmarts selection is very gimmicky.   
Target has self checkout, but they're are always plenty of registers open as well.  Also, they have a quick checkout service where an associate scans your purchases in line and then you swipe and go.  It's awesome.","They have the lowest prices on most items.   Since they have groceries, I can get most of my shopping done in one stop.  Also, I am a plus size woman and they have really stepped up their game in the plus size clothing department.  Outside of a specialty store, this is pretty much the only place I can go in store to find and try on clothing.",Female,45-54,Texas,Target
1b856c7b-70c9-4d6d-ba6a-a75d651ebdcb,10/02/2022 01:00,"The shelves could be stocked more, bathrooms could be cleaned more often, more self checkout lanes since they are taking away cashiers and when there are cashiers lines are backed up because there are only a couple of them.""",,The closest store to my house and has everything I need.,Female,25-34,Texas,Walmart
